pipe_age_years,flow_rate_lph,moisture_pct,wall_thickness_mm,corrosion_risk_score
13,1760.1,11.3,9.9,19.16
29,2654.9,17.1,6.7,33.26
15,2273.8,53.0,3.1,31.25
18,2537.0,78.2,13.3,72.65
15,533.4,29.4,3.1,2.5
5,4448.1,20.6,2.1,52.7
9,3098.6,38.9,11.8,54.98
2,4095.1,67.4,13.5,83.98
29,2126.1,88.0,3.1,36.38
27,882.0,68.5,9.4,36.17
23,3746.5,21.3,2.1,26.81
6,1603.5,23.8,9.5,28.32
5,4389.4,20.8,3.9,35.31
37,957.5,11.6,12.8,25.69
5,1976.2,50.4,14.9,52.24
27,216.6,35.5,7.2,14.85
22,4744.7,89.6,4.2,69.73
7,822.3,88.7,2.2,54.97
32,677.0,21.7,9.6,13.17
22,2246.3,28.7,14.8,47.54
32,1293.9,73.6,5.7,52.13
29,4202.5,50.3,5.2,52.67
12,4824.1,79.2,3.0,71.55
12,337.0,69.7,2.4,27.35
36,2823.9,80.8,14.7,69.34
